
="",="(1)",="(2)",="(3)",="(4)"
="",="haz_approx",="waz_approx",="haz_approx",="waz_approx"

="m_k10_std",="0.030",="0.026",="",=""
="",="(0.025)",="(0.028)",="",=""

="c_age",="0.152***",="0.177***",="0.152***",="0.177***"
="",="(0.004)",="(0.005)",="(0.004)",="(0.005)"

="0.c_female",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"

="1.c_female",="0.005",="0.045",="0.007",="0.048"
="",="(0.025)",="(0.029)",="(0.025)",="(0.029)"

="m_age_harmonized",="-0.000",="0.001",="-0.000",="0.001"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="m_mother_educ_years",="-0.018*",="0.007",="-0.018*",="0.007"
="",="(0.011)",="(0.010)",="(0.011)",="(0.010)"

="hh_size",="-0.017",="-0.001",="-0.018",="-0.002"
="",="(0.015)",="(0.016)",="(0.015)",="(0.015)"

="ln_pc_consumption",="-0.013",="0.023",="-0.016",="0.021"
="",="(0.047)",="(0.047)",="(0.047)",="(0.047)"

="m_depressed_binary",="",="",="0.077",="0.087*"
="",="",="",="(0.057)",="(0.047)"

="_cons",="-0.945***",="-1.698***",="-0.960***",="-1.720***"
="",="(0.305)",="(0.297)",="(0.309)",="(0.295)"

="N",="1,329",="1,333",="1,329",="1,333"
="r2",="0.738",="0.744",="0.738",="0.745"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
