
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="ln_food_exp",="food_share",="ln_pc_food",="ln_food_exp",="food_share"

="m_k10_std",="-0.039",="0.001",="-0.031",="",=""
="",="(0.036)",="(0.011)",="(0.035)",="",=""

="m_age_harmonized",="-0.002",="-0.001",="-0.001",="-0.002",="-0.001"
="",="(0.003)",="(0.001)",="(0.003)",="(0.003)",="(0.001)"

="m_mother_educ_years",="0.001",="-0.001",="0.002",="0.001",="-0.001"
="",="(0.013)",="(0.004)",="(0.013)",="(0.013)",="(0.003)"

="hh_size",="0.088***",="0.012*",="-0.096***",="0.088***",="0.012*"
="",="(0.016)",="(0.006)",="(0.016)",="(0.017)",="(0.006)"

="ln_pc_consumption",="",="-0.031*",="",="",="-0.031*"
="",="",="(0.019)",="",="",="(0.019)"

="m_depressed_binary",="",="",="",="0.023",="0.030"
="",="",="",="",="(0.063)",="(0.020)"

="_cons",="4.452***",="0.871***",="3.746***",="4.439***",="0.859***"
="",="(0.197)",="(0.105)",="(0.190)",="(0.212)",="(0.104)"

="N",="1,362",="1,361",="1,362",="1,362",="1,361"
="r2",="0.639",="0.587",="0.643",="0.638",="0.590"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
