
="",="(1)",="(2)",="(3)",="(4)"
="",="haz_approx",="waz_approx",="c_arm_circ",="haz_approx"

="m_k10_std",="0.030",="0.026",="-0.038",=""
="",="(0.025)",="(0.028)",="(0.159)",=""

="c_age",="0.152***",="0.177***",="0.613***",="0.152***"
="",="(0.004)",="(0.005)",="(0.043)",="(0.004)"

="0.c_female",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"

="1.c_female",="0.005",="0.045",="0.694***",="0.007"
="",="(0.025)",="(0.029)",="(0.255)",="(0.025)"

="m_age_harmonized",="-0.000",="0.001",="0.001",="-0.000"
="",="(0.002)",="(0.002)",="(0.016)",="(0.002)"

="m_mother_educ_years",="-0.018*",="0.007",="-0.042",="-0.018*"
="",="(0.011)",="(0.010)",="(0.087)",="(0.011)"

="hh_size",="-0.017",="-0.001",="-0.090",="-0.018"
="",="(0.015)",="(0.016)",="(0.124)",="(0.015)"

="ln_pc_consumption",="-0.013",="0.023",="0.071",="-0.016"
="",="(0.047)",="(0.047)",="(0.301)",="(0.047)"

="m_depressed_binary",="",="",="",="0.077"
="",="",="",="",="(0.057)"

="_cons",="-0.945***",="-1.698***",="13.024***",="-0.960***"
="",="(0.305)",="(0.297)",="(1.449)",="(0.309)"

="N",="1,329",="1,333",="1,335",="1,329"
="r2",="0.738",="0.744",="0.498",="0.738"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
