
="",="(1)"
="",="haz_approx"

="m_depressed_binary",="0.077"
="",="(0.057)"

="c_age",="0.152***"
="",="(0.004)"

="0.c_female",="0.000"
="",="(.)"

="1.c_female",="0.007"
="",="(0.025)"

="m_age_harmonized",="-0.000"
="",="(0.002)"

="m_mother_educ_years",="-0.018*"
="",="(0.011)"

="hh_size",="-0.018"
="",="(0.015)"

="ln_pc_consumption",="-0.016"
="",="(0.047)"

="_cons",="-0.960***"
="",="(0.309)"

="N",="1,329"
="r2",="0.738"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
