
="",="(1)",="(2)",="(3)"
="",="cog_index",="cog_index",="ravens_std"

="m_depressed_binary",="0.023",="0.013",="0.013"
="",="(0.066)",="(0.094)",="(0.094)"

="c_age",="0.017*",="0.016",="0.016"
="",="(0.010)",="(0.011)",="(0.011)"

="0.c_female",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="1.c_female",="0.000",="0.068",="0.068"
="",="(0.056)",="(0.064)",="(0.064)"

="m_age_harmonized",="0.000",="0.003",="0.003"
="",="(0.003)",="(0.004)",="(0.004)"

="m_mother_educ_years",="0.015",="0.032***",="0.032***"
="",="(0.012)",="(0.012)",="(0.012)"

="hh_size",="-0.005",="-0.004",="-0.004"
="",="(0.016)",="(0.021)",="(0.021)"

="ln_pc_consumption",="0.083*",="0.130",="0.130"
="",="(0.047)",="(0.081)",="(0.081)"

="_cons",="-0.464",="-0.861**",="-0.861**"
="",="(0.282)",="(0.390)",="(0.390)"

="N",="1,242",="1,213",="1,213"
="r2",="0.008",="0.213",="0.213"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
